id,Food Name,State,Diet Type,Calories kcal,Protein g,Iron mg,Calcium mg,Folic Acid mcg,Vitamin C mg,Vitamin D IU,Omega 3 mg,Fiber g,Preparation Time min,Safety Notes,Cultural Significance,Link
1,Makki di Roti,Punjab,Vegetarian,246,6.5,2.8,20,60,0,0,0,3.5,30,Wash cornmeal thoroughly,Staple with sarson da saag,
2,Sarson da Saag,Punjab,Vegetarian,45,2,2.7,230,100,40,0,0,4,45,Wash greens thoroughly,Traditional winter dish,
3,Paneer Tikka,Punjab,Vegetarian,265,14,0.5,480,20,10,10,0,1,20,Ensure fully cooked,Popular protein source,
4,Chole,Punjab,Vegetarian,164,7,5.2,105,80,6,0,0,6,40,Soak chickpeas overnight,Common in festive meals,
5,Amritsari Fish,Punjab,Non-Vegetarian,200,18,1,50,10,5,20,300,0.5,25,Use low-mercury fish,Festive delicacy,
6,Lassi,Punjab,Vegetarian,120,3.5,0.1,130,10,2,15,0,0,10,Use pasteurized curd,Hydrating drink,
7,Aloo Paratha,Punjab,Vegetarian,220,5,1.8,30,50,15,0,0,3,25,Wash potatoes thoroughly,Breakfast staple,
8,Rajma,Punjab,Vegetarian,130,7.5,5,60,90,5,0,0,5.5,50,Soak beans overnight,Hearty meal,
9,Guava,Punjab,Vegetarian,68,2.5,0.3,18,260,230,0,0,5,0,Wash thoroughly,Seasonal fruit,
10,Sprouted Moong Salad,Punjab,Vegetarian,125,8,2.5,45,70,30,0,0,6,15,Cook sprouts fully,Nutritious snack,
11,Dal Makhani,Punjab,Vegetarian,150,6,4,100,60,5,0,0,4.5,60,Soak lentils overnight,Rich festive dish,
12,Palak Paneer,Punjab,Vegetarian,180,10,2.5,400,80,30,10,0,3,30,Wash spinach thoroughly,Popular dish,
13,Gobi Paratha,Punjab,Vegetarian,210,5,1.5,25,40,20,0,0,2.5,25,Wash cauliflower thoroughly,Breakfast item,
14,Mango,Punjab,Vegetarian,60,0.8,0.2,11,16,36,0,0,2,0,Wash thoroughly,Summer fruit,
15,Chicken Curry,Punjab,Non-Vegetarian,220,15,1.2,40,10,10,0,50,0.5,40,Ensure fully cooked,Popular protein dish,
